Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn+,0.7981221,0.83238864,0.8363637,0.84304935,0.884993,0.86329114,0.83147854,0.84929574,0.8290469,0.8575757
F1_kick,0.044444446,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0,0.0,0.4
Classification_Accuracy,0.90441674,0.93782383,0.93242323,0.9386771,0.94365543,0.92852247,0.93080056,0.93663913,0.933609,0.9462465
F1_turn-,0.078125,0.12903227,0.041237116,0.035087723,0.068965524,0.06818182,0.21276595,0.34615386,0.21568626,0.25396824
Recall_kick,0.027027028,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0,0.0,0.33333334
Precision_dash,0.9125639,0.9457425,0.93558604,0.9475383,0.94187325,0.9288462,0.94679725,0.94045675,0.94398063,0.9491342
Recall_turn+,0.7160048,0.77409637,0.7688022,0.7954866,0.81841767,0.80235296,0.7984733,0.7780645,0.7806268,0.7894003
Recall_turn-,0.05102041,0.07692308,0.02173913,0.019607844,0.03846154,0.037037037,0.14150943,0.25,0.13253012,0.16
Precision_turn+,0.9015151,0.90017515,0.91694355,0.89666134,0.96335876,0.9342466,0.86733,0.9348837,0.88387096,0.9386401
Precision_turn-,0.16666667,0.4,0.4,0.16666667,0.33333334,0.42857143,0.42857143,0.5625,0.57894737,0.61538464
Global_F1,0.46684608,0.48170942,0.45976913,0.460635,0.48011506,0.4721125,0.54334396,0.53960574,0.5024415,0.62018466
Recall_dash,0.9834735,0.9859269,0.98883927,0.981879,0.99245286,0.98686516,0.9786594,0.98659444,0.9870459,0.99012136
Precision_kick,0.125,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0,0.0,0.5
F1_dash,0.94669276,0.9654167,0.9614758,0.964403,0.9665017,0.95697707,0.9624647,0.9629733,0.96503305,0.96919465
