Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn,0.58315015,0.57045066,0.7574355,0.48528016,0.65264684,0.69372225,0.6823205,0.71728814,0.5820812,0.7186207
F1_kick,0.64788735,0.16666666,0.47999996,0.08695652,0.16216217,0.72131145,0.55,0.21428572,0.11764707,0.5945946
Classification_Accuracy,0.8507928,0.80359,0.90361446,0.7149961,0.8737838,0.8714626,0.8776215,0.8868126,0.7981774,0.8900242
Global_F1,0.7141703,0.5379587,0.7263519,0.45920193,0.58070374,0.77845263,0.71962786,0.621094,0.5229028,0.74894667
Recall_kick,0.51111114,0.1,0.375,0.07692308,0.10344828,0.5641026,0.45833334,0.125,0.125,0.6111111
Precision_dash,0.8435374,0.8871355,0.8932794,0.8785121,0.86890703,0.8599369,0.884154,0.87460816,0.9163555,0.8881074
Recall_dash,0.9913104,0.866622,0.9954924,0.74346954,0.99411154,0.989833,0.9732453,0.99678457,0.82626265,0.9840595
Precision_kick,0.88461536,0.5,0.6666667,0.1,0.375,1.0,0.6875,0.75,0.11111111,0.57894737
Recall_turn,0.43027028,0.60240966,0.624183,0.6216545,0.5073281,0.5536437,0.57109827,0.5731311,0.6945551,0.5933941
F1_dash,0.9114733,0.87675875,0.94162023,0.80536914,0.9273021,0.92032415,0.926563,0.9317081,0.86898017,0.9336246
Precision_turn,0.9045454,0.5417118,0.9630252,0.3979751,0.91463417,0.9286927,0.84734136,0.9583333,0.50095785,0.91083914
