-7.0,301.5,301.5,26.8,1.0
301.5,301.5,301.5,301.5,1.0
301.5,301.5,301.5,301.5,1.0
301.5,301.5,301.5,301.5,1.0
28.0,33.0,28.1,80.8,1.0
-2.0,3.0,28.1,80.8,1.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
-4.0,1.0,28.1,80.8,2.0
