Performance Measure,Mean,Standard Deviation
F1_turn,0.56529343,0.026209831
F1_kick,0.34126985,0.007936537
Classification_Accuracy,0.8357631,0.025305629
Global_F1,0.602221,0.011765718
Recall_kick,0.22222222,0.02222222
Precision_dash,0.83263665,0.01477325
Recall_dash,0.9794625,0.0198735
Precision_kick,0.8055556,0.19444442
Recall_turn,0.41756728,0.0043441355
F1_dash,0.9000999,0.017023802
Precision_turn,0.8821324,0.1069386

,Cycle0,Cycle1
Filter Time (Seconds),0.111,0.05,
Test Time (Minutes),1.2187166666666667,0.6864333333333333,
