Performance Measure,Mean,Standard Deviation
Recall kick,0.6126603,0.07964742
Classification Accuracy,0.72826105,0.047810912
Recall dash,0.8458016,0.08726174
F1 dash,0.8276255,0.038701773
Precision turn,0.4034314,0.0929552
Recall turn,0.34070188,0.055891782
Precision dash,0.8121246,0.009718657
Global F1,0.60929173,0.015934587
F1 turn,0.3641679,0.015877336
F1 kick,0.63608193,0.00677526
Precision kick,0.6791667,0.07916665
