Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn,0.3258326,0.39962122,0.3813708,0.40230995,0.34629628,0.33660132,0.35969868,0.34120736,0.5029703,0.39641252
F1_kick,0.6226415,0.40677968,0.45454547,0.4285714,0.6478873,0.42857143,0.5714286,0.25531915,0.23076922,0.6
Classification_Accuracy,0.80348325,0.8342872,0.8148245,0.83721536,0.8143571,0.7839196,0.819485,0.79711694,0.86491555,0.8187685
Global_F1,0.6122828,0.57145256,0.57654184,0.57986146,0.6295613,0.546804,0.60974646,0.49345765,0.5527031,0.6306656
Recall_kick,0.73333335,0.4,0.625,0.6923077,0.79310346,0.3846154,0.75,0.25,0.375,0.8333333
Precision_dash,0.7991667,0.83142936,0.80784315,0.83384615,0.80913675,0.7805919,0.8150666,0.7950328,0.859375,0.8142029
Recall_dash,1.0,1.0,1.0,0.9983255,1.0,0.99600583,1.0,0.9949982,1.0,0.9950407
Precision_kick,0.5409836,0.41379312,0.35714287,0.31034482,0.54761904,0.48387095,0.46153846,0.26086956,0.16666667,0.46875
Recall_turn,0.19567567,0.25421688,0.23638344,0.25425792,0.210823,0.20850202,0.22080925,0.2112676,0.3373174,0.25170842
F1_dash,0.88837427,0.9079568,0.8937093,0.90870297,0.8945004,0.8752393,0.89811206,0.8838464,0.92436975,0.8955842
Precision_turn,0.9731183,0.9336283,0.98636365,0.96313363,0.96891195,0.87288135,0.96954316,0.8863636,0.98832685,0.93248945
