Performance Measure,Mean,Standard Deviation
Recall kick,0.917094,0.0059829354
Classification Accuracy,0.8396591,0.044234037
Recall dash,0.80782187,0.05564946
F1 dash,0.884325,0.034531236
Precision turn,0.6284685,0.08318794
Recall turn,0.9317978,0.007473469
Precision dash,0.9791838,0.0026494265
Global F1,0.7982601,0.03326887
F1 turn,0.74784684,0.061926246
F1 kick,0.76260835,0.0033490658
Precision kick,0.65266955,0.0018758774
