Performance Measure,Mean,Standard Deviation
F1_turn,0.67582405,0.05842292
F1_kick,0.019806763,0.042142663
Classification_Accuracy,0.80373603,0.048204526
Global_F1,0.51797867,0.027115734
Recall_kick,0.01818182,0.03833064
Precision_dash,0.9176855,0.037012376
Recall_dash,0.8092127,0.07356757
Precision_kick,0.022619048,0.049706243
Recall_turn,0.8010691,0.03878831
F1_dash,0.8583053,0.045367733
Precision_turn,0.59587586,0.11569192

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.188,0.099,0.054,0.051,0.05,0.048,0.056,0.056,0.057,0.056,
Test Time (Minutes),0.8089333333333333,0.8912333333333333,0.8957833333333334,0.8641666666666666,0.8461166666666666,0.9372,0.91365,0.95295,0.9435166666666667,0.9135833333333333,
